Country/Territory,UN Region,IMF[5][6],IMF[5][6],World Bank[7],World Bank[7],CIA[8],CIA[8]
U.S. Virgin Islands *,Americas,N/A,N/A,N/A,N/A,"37,000",2016
Romania *,Europe,"36,622",2022,"31,946",2020,"29,941",2019
Croatia *,Europe,"36,201",2022,"28,504",2020,"28,602",2019
Panama *,Americas,"36,085",2022,"26,776",2020,"31,459",2019
Sint Maarten *,Americas,N/A,N/A,"35,977",2018,"35,300",2018
Guam *,Oceania,N/A,N/A,N/A,N/A,"35,600",2016
Greece *,Europe,"35,596",2022,"28,464",2020,"29,799",2019
Oman *,Asia,"35,286",2022,"28,449",2019,"27,299",2019
Seychelles *,Africa,"35,272",2022,"25,700",2020,"29,223",2019
British Virgin Islands *,Americas,N/A,N/A,N/A,N/A,"34,200",2017
Montserrat *,Americas,N/A,N/A,N/A,N/A,"34,000",2011
Malaysia *,Asia,"32,901",2022,"27,887",2020,"28,364",2019
New Caledonia *,Oceania,N/A,N/A,N/A,N/A,"31,100",2015
Kazakhstan *,Asia,"30,502",2022,"26,729",2020,"26,351",2019
Russia *,Europe,"30,013",2022,"28,213",2020,"27,044",2019
Trinidad and Tobago *,Americas,"29,884",2022,"25,031",2020,"23,700",2020
Maldives *,Asia,"29,133",2022,"13,766",2020,"19,531",2019
Bulgaria *,Europe,"28,593",2022,"24,367",2020,"23,174",2019
Chile *,Americas,"28,526",2022,"25,068",2020,"24,226",2019
Saint Kitts and Nevis *,Americas,"27,608",2022,"24,537",2020,"23,300",2020
Uruguay *,Americas,"26,663",2022,"22,795",2020,"21,561",2019
Argentina *,Americas,"25,822",2022,"20,768",2020,"22,064",2019
Mauritius *,Africa,"25,043",2022,"20,539",2020,"22,870",2019
Montenegro *,Europe,"24,878",2022,"20,567",2020,"21,470",2019
Northern Mariana Islands *,Oceania,N/A,N/A,N/A,N/A,"24,500",2016
Costa Rica *,Americas,"24,490",2022,"21,032",2020,"19,700",2020
Dominican Republic *,Americas,"23,983",2022,"17,937",2020,"17,000",2020
Serbia *,Europe,"23,904",2022,"19,231",2020,"18,233",2019
Turks and Caicos Islands,Americas,N/A,N/A,"22,286",2020,"21,100",2020
Mexico *,Americas,"22,216",2022,"18,833",2020,"19,796",2019
Antigua and Barbuda *,Americas,"21,890",2022,"18,942",2020,"18,000",2020
Belarus *,Europe,"21,686",2022,"20,200",2020,"19,150",2019
Curaçao *,Americas,N/A,N/A,"21,423",2020,"24,500",2019
China *,Asia,"21,364",2022,"17,312",2020,"16,117",2019
Thailand *,Asia,"21,057",2022,"18,236",2020,"18,460",2019
North Macedonia *,Europe,"19,726",2022,"16,927",2020,"16,479",2019
Saint Martin *,Americas,N/A,N/A,N/A,N/A,"19,300",2005
Botswana *,Africa,"19,287",2022,"16,921",2020,"17,767",2019
Equatorial Guinea *,Africa,"19,036",2022,"17,942",2020,"18,558",2019
Turkmenistan *,Asia,"18,857",2022,"16,196",2019,"14,845",2018
Georgia *,Asia,"18,594",2022,"14,863",2020,"14,992",2019
Libya *,Africa,"18,345",2022,"10,847",2020,"15,174",2019
Iran *,Asia,"18,332",2022,"13,116",2020,"12,389",2019
Grenada *,Americas,"18,293",2022,"15,893",2020,"15,100",2020
Colombia *,Americas,"18,225",2022,"14,565",2020,"14,722",2019
Gabon *,Africa,"17,848",2022,"15,191",2020,"14,950",2019
Bosnia and Herzegovina *,Europe,"17,471",2022,"15,612",2020,"14,912",2019
Barbados *,Americas,"17,408",2022,"13,577",2020,"12,900",2020
Albania *,Europe,"17,383",2022,"13,818",2020,"13,965",2019
Suriname *,Americas,"17,300",2022,"17,016",2020,"16,525",2019
Brazil *,Americas,"17,208",2022,"14,836",2020,"14,652",2019
Azerbaijan *,Asia,"17,153",2022,"14,452",2020,"14,404",2019
World,World,N/A,N/A,"17,110",2020,"17,500",2017
French Polynesia *,Oceania,N/A,N/A,N/A,N/A,"17,000",2015
Moldova *,Europe,"16,719",2022,"13,002",2020,"13,050",2019
Cook Islands *,Oceania,N/A,N/A,N/A,N/A,"16,700",2016
Saint Lucia *,Americas,"16,509",2022,"12,944",2020,"12,300",2020
Armenia *,Asia,"15,818",2022,"13,284",2020,"13,654",2019
Saint Vincent and the Grenadines *,Americas,"15,505",2022,"12,770",2020,"12,100",2020
Sri Lanka *,Asia,"15,387",2022,"13,225",2020,"13,078",2019
South Africa *,Africa,"15,361",2022,"12,096",2020,"12,482",2019
Peru *,Americas,"15,035",2022,"11,879",2020,"12,848",2019
Egypt *,Africa,"14,928",2022,"12,608",2020,"11,763",2019
Indonesia *,Asia,"14,535",2022,"12,074",2020,"11,812",2019
Dominica *,Americas,"14,491",2022,"10,435",2020,"9,900",2020
Paraguay *,Americas,"14,430",2022,"13,013",2020,"12,685",2019
Ukraine *,Europe,"14,325",2021,"13,057",2020,"12,810",2019
Kosovo *,Europe,"13,964",2022,"11,368",2020,"11,368",2019
Palau *,Oceania,"13,652",2022,"18,316",2019,"17,579",2019
Fiji *,Oceania,"13,598",2022,"11,601",2020,"13,684",2019
Mongolia *,Asia,"13,350",2022,"12,101",2020,"12,317",2019
Algeria *,Africa,"13,002",2022,"11,268",2020,"11,511",2019
Bhutan *,Asia,"12,967",2022,"11,508",2020,"11,832",2019
Vietnam *,Asia,"12,881",2022,"8,651",2020,"8,041",2019
Ecuador *,Americas,"12,664",2022,"10,896",2020,"11,375",2019
Tunisia *,Africa,"12,300",2022,"10,262",2020,"10,756",2019
Cuba *,Americas,N/A,N/A,N/A,N/A,"12,300",2016
Lebanon *,Asia,"12,035",2020,"12,289",2020,"14,552",2019
Anguilla *,Americas,N/A,N/A,N/A,N/A,"12,200",2008
Iraq *,Asia,"12,141",2022,"9,764",2020,"10,881",2019
Jordan *,Asia,"11,861",2022,"10,356",2020,"10,071",2019
Jamaica *,Americas,"11,802",2022,"9,222",2020,"8,700",2020
American Samoa *,Oceania,N/A,N/A,N/A,N/A,"11,200",2016
Nauru *,Oceania,"10,750",2022,"14,100",2019,"11,583",2019
El Salvador *,Americas,"10,581",2022,"8,499",2020,"8,100",2020
Namibia *,Africa,"10,448",2022,"9,382",2020,"9,637",2019
Eswatini *,Africa,"10,411",2022,"8,854",2020,"8,622",2019
Philippines *,Asia,"10,237",2022,"8,390",2020,"8,908",2019
Guatemala *,Americas,"9,911",2022,"8,854",2020,"8,400",2020
Bolivia *,Americas,"9,856",2022,"8,367",2020,"8,724",2019
Uzbekistan *,Asia,"9,243",2022,"7,378",2020,"6,999",2019
Laos *,Asia,"9,184",2022,"8,235",2020,"7,826",2019
Morocco *,Africa,"9,041",2022,"7,296",2020,"7,515",2019
India *,Asia,"8,358",2022,"6,454",2020,"6,700",2019
"Saint Helena, Ascension and Tristan da Cunha",Africa,N/A,N/A,N/A,N/A,"7,800",2010
Cape Verde *,Africa,"7,740",2022,"6,377",2020,"7,172",2019
Angola *,Africa,"7,360",2022,"6,539",2020,"6,670",2019
Belize *,Americas,"7,147",2022,"6,456",2020,"6,100",2020
Nicaragua *,Americas,"7,071",2022,"5,570",2020,"5,300",2020
Mauritania *,Africa,"6,920",2022,"5,257",2020,"5,197",2019
Tonga *,Oceania,"6,783",2022,"6,648",2019,"6,383",2019
Ghana *,Africa,"6,754",2022,"5,596",2020,"5,413",2019
Honduras *,Americas,"6,740",2022,"5,421",2020,"5,100",2020
Djibouti *,Africa,"6,667",2022,"5,782",2020,"5,535",2019
Bangladesh *,Asia,"6,633",2022,"5,083",2020,"4,754",2019
Pakistan *,Asia,"6,470",2022,"6,370",2020,"5,820",2019
Syria *,Asia,"6,374",2010,N/A,N/A,"2,900",2015
Ivory Coast *,Africa,"6,345",2022,"5,458",2020,"5,213",2019
Palestine *,Asia,"6,243",[n 2]2022,"5,690",[n 3]2020,"5,400  6,220",[n 4]2020  2019
Kenya *,Africa,"6,061",2022,"4,452",2020,"4,330",2019
Tokelau *,Oceania,N/A,N/A,N/A,N/A,"6,004",2017
Venezuela *,Americas,"5,949",2022,"17,528",2011,"7,704",2018
Samoa *,Oceania,"5,935",2022,"6,778",2019,"6,521",2019
Nigeria *,Africa,"5,853",2022,"5,187",2020,"5,136",2019
Niue *,Oceania,N/A,N/A,N/A,N/A,"5,800",2003
Tuvalu *,Oceania,"5,798",2022,"4,653",2020,"4,281",2019
Kyrgyzstan *,Asia,"5,562",2022,"4,965",2020,"5,253",2019
Cambodia *,Asia,"5,493",2022,"4,422",2020,"4,389",2019
Myanmar *,Asia,"4,776",2022,"4,794",2020,"5,142",2019
São Tomé and Príncipe *,Africa,"4,681",2022,"4,274",2020,"3,970",2019
Tajikistan *,Asia,"4,630",2022,"3,858",2020,"3,380",2019
Nepal *,Asia,"4,578",2022,"4,009",2020,"3,417",2019
Congo *,Africa,"4,578",2022,"3,639",2020,"3,673",2019
Sudan *,Africa,"4,442",2022,"4,244",2020,"3,958",2019
Cameroon *,Africa,"4,398",2022,"3,773",2020,"3,642",2019
Papua New Guinea *,Oceania,"4,299",2022,"4,326",2020,"4,355",2019
Marshall Islands *,Oceania,"4,192",2022,"4,200",2019,"3,889",2018
Benin *,Africa,"4,137",2022,"3,506",2020,"3,287",2019
Senegal *,Africa,"4,093",2022,"3,481",2020,"3,395",2019
Wallis and Futuna *,Oceania,N/A,N/A,N/A,N/A,"3,800",2004
Zambia *,Africa,"3,776",2022,"3,450",2020,"3,470",2019
Micronesia *,Oceania,"3,650",2022,"3,613",2019,"3,464",2018
Ethiopia *,Africa,"3,407",2022,"2,423",2020,"2,221",2019
Tanzania *,Africa,"3,358",2022,"2,780",2020,"2,660",2019
Comoros *,Africa,"3,355",2022,"3,313",2020,"3,060",2019
East Timor *,Asia,"3,339",2022,"3,356",2020,"3,553",2019
Haiti *,Americas,"3,189",2022,"2,925",2020,"2,800",2020
Lesotho *,Africa,"3,034",2022,"2,405",2020,"2,704",2019
Guinea *,Africa,"3,029",2022,"2,818",2020,"2,562",2019
Uganda *,Africa,"2,961",2022,"2,297",2020,"2,187",2019
Vanuatu *,Oceania,"2,851",2022,"2,915",2020,"3,153",2019
Rwanda *,Africa,"2,808",2022,"2,214",2020,"2,227",2019
Guinea-Bissau *,Africa,"2,784",2022,"1,949",2020,"1,989",2019
Burkina Faso *,Africa,"2,663",2022,"2,279",2020,"2,178",2019
Gambia,Africa,"2,646",2022,"2,278",2020,"2,223",2019
Togo *,Africa,"2,599",2022,"2,224",2020,"1,597",2019
Mali *,Africa,"2,575",2022,"2,339",2020,"2,322",2019
Zimbabwe *,Africa,"2,523",2022,"2,895",2020,"2,836",2019
Afghanistan *,Asia,"2,456",2020,"2,088",2020,"2,065",2019
Solomon Islands *,Oceania,"2,385",2022,"2,619",2020,"2,663",2019
Kiribati *,Oceania,"2,148",2022,"2,418",2020,"2,272",2019
Eritrea *,Africa,"2,101",2022,"1,626",2011,"1,600",2019
Yemen *,Asia,"2,078",2022,"3,689",2013,"2,500",2017
Sierra Leone *,Africa,"1,958",2022,"1,739",2020,"1,718",2019
Liberia *,Africa,"1,779",2022,"1,428",2020,"1,428",2019
Madagascar *,Africa,"1,778",2022,"1,593",2020,"1,647",2019
Chad *,Africa,"1,705",2022,"1,603",2020,"1,580",2019
North Korea *,Asia,N/A,N/A,N/A,N/A,"1,700",2015
Malawi *,Africa,"1,603",2022,"1,568",2020,"1,060",2019
Mozambique *,Africa,"1,439",2022,"1,297",2020,"1,281",2019
Niger *,Africa,"1,435",2022,"1,263",2020,"1,225",2019
Somalia *,Africa,"1,322",2022,875.2,2020,800,2020
DR Congo *,Africa,"1,316",2022,"1,131",2020,"1,098",2019
Central African Republic *,Africa,"1,102",2022,979.6,2020,945,2019
South Sudan *,Africa,928,2022,"1,235",2015,"1,600",2017
Burundi *,Africa,856,2022,771.2,2020,752,2019
